name	numWords	numUniqWords	words
MNR_Government	4488	2361	россии, 83;минприроды, 65;донской, 61;рф, 58;сергей, 38;территории, 31;отходов, 27;российской, 24;участие, 22;га, 21;будет, 20;окружающей, 19;общей, 19;сергейдонской, 19;ресурсов, 18;площади, 18;года, 18;федерации, 18;бытовых, 16;совета, 16;среды, 16;
mvd_official	13618	5043	мвд, 490;полицейские, 310;области, 268;полиции, 197;задержан, 144;россии, 142;задержали, 133;сотрудники, 118;задержаны, 80;подозреваемый, 79;полицейскими, 75;убийстве, 65;сотрудниками, 63;крае, 59;подозреваемого, 53;москве, 53;полиция, 48;подозреваемые, 46;видео, 44;совершении, 38;отношении, 38;
NikitaBelyh	13062	6933	спасибо, 296;да, 109;сегодня, 57;завтра, 51;будет, 50;очень, 50;всем, 45;был, 45;области, 45;киров, 40;вас, 37;хорошо, 35;рождения, 34;кирове, 34;днем, 32;жж, 31;сейчас, 31;можно, 31;утро, 30;утра, 30;кировской, 29;
nnikiforov	27004	10594	россии, 190;будет, 181;связи, 148;казань, 122;сегодня, 122;татарстан, 118;нужно, 101;очень, 85;гос, 75;услуг, 74;года, 74;https, 73;//t, 72;можно, 71;itpark, 70;интернет, 67;вопрос, 67;lte, 65;да, 65;спасибо, 64;рф, 63;
obrnadzor	892	485	егэ, 34;образования, 21;рособрнадзор, 20;рособрнадзора, 19;науки, 11;информация, 10;области, 9;проверок, 8;россии, 8;проверки, 8;результатах, 7;году, 7;проведении, 6;математике, 6;деятельности, 6;итоги, 6;коллегии, 6;аккредитационной, 6;проверил, 6;вузы, 6;плановых, 5;
Pravitelstvo_RF	31133	9381	медведев, 1027;дмитрий, 597;правительства, 420;россии, 198;рф, 186;медведева, 150;развития, 138;глава, 135;совещание, 132;году, 128;млрд, 122;дмитрия, 117;области, 116;года, 111;заседание, 109;законопроект, 100;встретился, 90;правительство, 86;развитие, 83;внесении, 81;законопроекте, 80;
RFdeti	32701	12351	детей, 710;рф, 275;ребенка, 255;обл, 184;уполномоченного, 175;уполномоченный, 152;области, 124;семьи, 120;сша, 117;дет, 100;дети, 98;россии, 91;родителей, 83;детьми, 79;2012г, 77;прав, 77;лет, 76;всех, 75;правам, 72;более, 71;2011г, 66;
Rogozin	26507	12912	россии, 131;нато, 122;сегодня, 114;рф, 110;будет, 95;рогозин, 90;спасибо, 74;вам, 72;cont, 70;life, 65;впк, 65;да, 62;опк, 60;сша, 60;вас, 60;завтра, 54;наших, 48;россия, 46;комиссии, 45;совещание, 44;заседание, 43;
roscomnadzor	3867	1718	ркн, 225;неделе, 113;прошлой, 92;сми, 76;выдал, 67;вынес, 45;зарегистрировал, 44;лицензий, 40;телерадиовещание, 37;роскомнадзор, 37;рэс, 32;новых, 29;предписаний, 27;регистрации, 27;телерадиовещателям, 26;связи, 22;информации, 20;жаров, 18;защите, 18;запрещенной, 17;предупреждения, 15;
Rosleshoz	18468	5933	леса, 318;лесных, 279;пожаров, 269;рослесхоз, 267;области, 227;via, 214;лесного, 181;россии, 171;18may, 125;лесной, 106;лес, 92;лесов, 90;рублей, 89;будут, 85;га, 84;человек, 83;информационное, 81;будем, 80;лесные, 76;агентство, 72;хозяйства, 72;
rosnano_ru	26863	11561	forinnovations, 490;словарь, 227;роснано, 160;ученые, 101;фотодня, 97;россии, 86;congressnano, 83;компании, 71;будет, 67;области, 59;новый, 56;компания, 54;развития, 51;проектов, 50;можно, 50;вам, 50;https, 48;сегодня, 48;//t, 48;может, 48;очень, 47;
rosreestr_info	124	105	росреестра, 5;сергея, 3;электронных, 3;сапельникова, 3;конференция, 2;росреестр, 2;госуслуг, 2;отчет, 2;услуг, 2;онлайн, 2;состоится, 2;декабря, 2;скуфинского, 2;операциях, 1;будет, 1;осуществляться, 1;общественный, 1;всех, 1;уведомляющая, 1;квартир, 1;контроль, 1;
rossvyaz_news	1446	882	россвязи, 43;связь, 28;связи, 28;руководителя, 21;духовницкий, 16;фгуп, 16;участие, 15;зам, 13;олег, 12;мгрс, 11;федерального, 10;сегодня, 10;агентства, 10;интервью, 9;года, 9;почта, 8;марки, 8;россии, 8;чурсин, 8;руководитель, 7;духовницкого, 7;
